name,handle
Barack Obama,@BarackObama
Justin Bieber,@justinbieber
Katy Perry,@katyperry
Rihanna,@rihanna
Cristiano Ronaldo,@Cristiano
Taylor Swift,@taylorswift13
Lady Gaga,@ladygaga
Ariana Grande,@ArianaGrande
Ellen DeGeneres,@TheEllenShow
Kim Kardashian,@KimKardashian
Narendra Modi,@narendramodi
Selena Gomez,@selenagomez
Justin Timberlake,@jtimberlake
Britney Spears,@britneyspears
Demi Lovato,@ddlovato[c]
Bill Gates,@BillGates
Shakira,@shakira
Neymar,@neymarjr
Jimmy Fallon,@jimmyfallon
LeBron James,@KingJames
Elon Musk,@elonmusk
Miley Cyrus,@MileyCyrus
Jennifer Lopez,@JLo
Oprah Winfrey,@Oprah
Bruno Mars,@BrunoMars
Niall Horan,@NiallOfficial
Drake,@Drake
Kylie Jenner,@KylieJenner
Kevin Hart,@KevinHart4real
Wiz Khalifa,@wizkhalifa
Harry Styles,@Harry_Styles
Louis Tomlinson,@Louis_Tomlinson
Lil Wayne,@LilTunechi
Kourtney Kardashian,@kourtneykardash
Shah Rukh Khan,@iamsrk
Mariah Carey,@MariahCarey
Ed Sheeran,@edsheeran
Christina Aguilera,@xtina
Jim Carrey,@JimCarrey
Kanye West,@kanyewest
Chris Brown,@chrisbrown
Beyonce Knowles,@Beyonce
Blake Shelton,@blakeshelton
Ryan Seacrest,@RyanSeacrest
Ivete Sangalo,@ivetesangalo
Leonardo DiCaprio,@LeoDiCaprio
Paris Hilton,@ParisHilton
will.i.am,@iamwill
Kendall Jenner,@KendallJenner
Ashley Tisdale French,@ashleytisdale
Tyra Banks,@tyrabanks
Snoop Dogg,@SnoopDogg
Ricky Martin,@ricky_martin
Ronaldinho ,@10Ronaldinho
Simon Cowell,@SimonCowell
Wayne Rooney,@WayneRooney
Kevin Durant,@KDTrey5
Kylie Jenner,@KylieJenner
Danilo Gentili,@DaniloGentili
Stephen Fry,@stephenfry
Charlie Sheen,@charliesheen
Zac Efron,@ZacEfron
Carly Rae Jepsen,@carlyraejepsen
Russell Brand,@rustyrockets
Paulina Rubio,@paurubio
Sean Diddy Combs,@iamdiddy
Ludacris,@Ludacris
SHAQ,@SHAQ
Kelly Clarkson,@kelly_clarkson
Tom Hanks,@tomhanks
Usher,@Usher
Ricky Gervais,@rickygervais
Nick Jonas,@nickjonas
Dwayne Johnson,@TheRock
Enrique Iglesias,@enrique305
Stephen Colbert,@StephenAtHome
Victoria Justice,@VictoriaJustice
Lindsay Lohan,@lindsaylohan
Victoria Beckham,@victoriabeckham
Trey Songz,@TreySongz
Sofia Vergara,@SofiaVergara
Jessica Alba,@jessicaalba
Rafa Nadal,@RafaelNadal
Daddy Yankee,@daddy_yankee
LMFAO,@LMFAO
William Bonner,@realwbonner
Jessie J,@JessieJ
Seth MacFarlane,@SethMacFarlane
Marc Anthony,@MarcAnthony
50cent,@50cent
Pharrell Williams,@Pharrell
Joe Jonas,@joejonas
Big Sean,@BigSean
Aziz Ansari,@azizansari
Channing Tatum,@channingtatum
Robin van Persie,@Persie_Official
Gareth Bale,@GarethBale11
John Cena,@JohnCena
J. Cole,@JColeNC
Miranda Cosgrove,@MirandaCosgrove
John Legend,@johnlegend
Eva Longoria,@EvaLongoria
David Villa,@Guaje7Villa
Cher Lloyd,@CherLloyd
Jessica Simpson,@JessicaSimpson
Nancy Ajram,@NancyAjram
Anderson Silva,@SpiderAnderson
Carmelo Anthony,@carmeloanthony
Sarah Silverman,@SarahKSilverman
Queen Latifah,@IAMQUEENLATIFAH
Zooey Deschanel,@ZooeyDeschanel
Simon Pegg,@simonpegg
NE-YO,@NeYoCompound
Calvin Harris,@CalvinHarris
Richard Branson,@richardbranson
Ciara,@ciara
Steve Martin,@SteveMartinToGo
Olly Murs,@ollyofficial
Daniel Alves,@DaniAlvesD2
Kelly Rowland,@KELLYROWLAND
Floyd Mayweather,@FloydMayweather
Luke Hemmings,@Luke5SOS
Anderson Cooper,@andersoncooper
Mario Teguh,@MTLovenHoney
Jennette McCurdy,@jennettemccurdy
T.I.,@Tip
Perez Hilton,@PerezHilton
Dwight Howard,@DwightHoward
Zendaya,@Zendaya
Dulce Maria,@DulceMaria
Kris Jenner,@KrisJenner
Jimmy Kimmel,@jimmykimmel
Hugh Jackman,@RealHughJackman
Luan Santana,@luansantana
Iggy Azalea,@IGGYAZALEA
AKON,@Akon
Jason Mraz,@jason_mraz
Nina Dobrev,@ninadobrev
Lana Del Rey,@LanaDelRey
Sonakshi Sinha,@sonakshisinha
J.K. Rowling,@jk_rowling
Flo Rida,@official_flo
Chelsea Handler,@chelseahandler
Scott Disick,@ScottDisick
Cheryl Ann Tweedy,@CherylOfficial
Jaden Smith,@officialjaden
Robert Downey Jr,@RobertDowneyJr
Tom Cruise,@TomCruise
Kendrick Lamar,@kendricklamar
Serena Williams,@serenawilliams
Adam Levine,@adamlevine
Vanessa Hudgens,@VanessaHudgens
Ellie Goulding,@elliegoulding
Cameron Dallas,@camerondallas
Michelle Obama,@MichelleObama
Mary J. Blige,@maryjblige
Demi Moore,@justdemi
Samuel L. Jackson,@SamuelLJackson
Meek Mill,@MeekMill
Rita Ora,@RitaOra
Nick Cannon,@NickCannon
Miranda Lambert,@mirandalambert
Angel Rivera,@Angelluisr
Nash Grier,@Nashgrier
Ben Stiller,@RedHourBen
Mindy Kaling,@mindykaling
Luke Bryan,@LukeBryanOnline
Tiger Woods,@TigerWoods
Mike Tyson,@MikeTyson
Lenny Kravitz,@LennyKravitz
Kevin Jonas,@kevinjonas
Jonah Hill,@JonahHill
Dwayne Wayde,@DwyaneWade
Nicole Richie,@nicolerichie
Hilary Duff,@HilaryDuff
Anna Kendrick,@AnnaKendrick47
Alan Carr,@AlanCarr
John Cleese,@JohnCleese
Soulja Boy Tell 'Em,@souljaboy
Prince Royce,@PrinceRoyce
Carrie Underwood,@carrieunderwood
Novak Djokovic,@DjokerNole
John Green,@johngreen
Bill Simmons,@BillSimmons
Diego Forlan,@DiegoForlan7
LLCOOLJ,@llcoolj
Piers Morgan,@piersmorgan
Skrillex,@Skrillex
Chris Paul,@CP3
Jamie Foxx,@iamjamiefoxx
Steve Carell,@SteveCarell
Neil deGrasse Tyson,@neiltyson
Shawn Mendes,@ShawnMendes
Randy Orton,@RandyOrton
DJ KING ASSASSIN,@DjKingAssassin
DJ Pauly D,@DJPaulyD
Paula,@paulitachaves
Ozzy Osbourne,@OzzyOsbourne
Adam Schefter,@AdamSchefter
Gary Lineker,@GaryLineker
Cristine Reyes,@_CristineReyes_
Jordin Sparks,@JordinSparks
Rainn Wilson,@rainnwilson
Miranda Kerr,@MirandaKerr
Gary Barlow,@GaryBarlow
Tony Hawk,@tonyhawk
Noah Everett,@noaheverett
Tyler Perry,@tylerperry
PSY,@psy_oppa
Cara Delevingne,@Caradelevingne
Zach Galifianakis,@galifianakisz
Kelly Osbourne,@KellyOsbourne
Joel Osteen,@JoelOsteen
Keri Hilson,@KeriHilson
Roger Federer,@rogerfederer
Lorde,@lordemusic
Green Day,@GreenDay
Jack Whitehall,@jackwhitehall
Al Yankovic,@alyankovic
Wyclef Jean,@wyclef
Scooter Braun,@scooterbraun
Usain St. Leo Bolt,@usainbolt
Lance Armstrong,@lancearmstrong
Paul Wesley,@paulwesley
Paul Pierce,@paulpierce34
Joseph Gordon-Levitt,@hitRECordJoe
Jennifer Hudson,@IAMJHUD
Mark Cuban,@mcuban
Dr. Mehmet Oz,@DrOz
Belinda Peregrin,@belindapop
Taraji P. Henson,@TherealTaraji
Jim Jones ,@jimjonescapo
Joel McHale,@joelmchale
Sam Smith,@samsmithworld
Emily Osment,@EmilyOsment
Sam Milby,@samuelmilby
Mario Balotelli,@FinallyMario
Dolly Parton,@DollyParton
Chris Moyles,@ChrisMoyles
Brad Paisley,@BradPaisley
Danny DeVito,@DannyDeVito
Rob Dyrdek,@robdyrdek
Jason Derulo,@jasonderulo
Arnold,@Schwarzenegger
Bruna Marquezine,@BruMarquezine
Kesha ,@KeshaRose
Russell Simmons,@UncleRUSH
Jake T. Austin,@JakeTAustin
Chad Johnson,@ochocinco
Chris Rock,@chrisrock
Wesley Sneijder,@sneijder101010
Sean Kingston,@SeanKingston
James Franco,@JamesFrancoTV
Amanda Bynes,@amandabynes
