firstNames,lastNames
William,STITHIANS
John,STOKE
Thomas,STRATTON
George,TALLAND
James,TINTAGEL
Henry,TOWEDNACK
Charles,TREMAINE
Joseph,TRENEGLOS
Robert,TRESMERE
Edward,TREVALGA
Richard,TREWEN
Samuel,TRURO
Alfred,TYWARDREATH
Frederick,VERYAN
David,WARBSTOW
Arthur,WARLEGGAN
Walter,WEEK
Edwin,WENDRON
Benjamin,WERRINGTON
Francis,WHITSTONE
Albert,WITHIEL
Daniel,ZENNOR
Isaac,CLIMSLAND
Peter,BARRETT
Harry,MELLION
Stephen,MERRYN
Edmund,MEWAN
Frank,CAERHAYS
Tom,PENKIVEL
Michael,MINVER
Matthew,NEOT
Herbert,PINNOCK
Abraham,SAMPSON
Alexander,LAUNCESTON
Mark,BRANNEL
Frederic,SALTASH
Andrew,TEATH
Philip,LAUNCESTON
Jonathan,TUDY
Christopher,VEEP
Evan,WENN
Jesse,WINNOW
Hugh,"ADVENT: Roberts, Rowe and Scott (2) [Total number of register entries = 42]"
Joshua,"ALTARNUN: Coombe, Rowe and Venning (9); Burnard and Herring (8) [No.= 209]"
Lewis,"ANTONY: Rogers (7); Bailey, Mitchell and Stephens (6); Dawe and Lyne (5) [No.= 414]"
Ralph,BLISLAND: Hoskin (9); Chapman and Rogers (4) [No.= 116]
Josiah,BOCONNOC: Champion and Roberts (3) [No.= 62]
Jacob,"BODMIN: Williams (16); Hawke (10); Clymo, Cowle and Roberts (8) [No.= 529]"
Eli,BOTUSFLEMING: Barrett and Rickard (3) [No.= 88]
Reuben,BOYTON: Bailey and Featherstone (3) [No.= 44]
Patrick,BRADDOCK: Haley and Harding (5) [No.= 84]
Owen,BREAGE: Williams (51); Richards (45); Thomas (37); James and Symons (28) [No.= 793]
Amos,BUDOCK: Thomas (18); Medlyn (17); Rowe (8): Pellow (7) [No.= 379]
Elijah,CALLINGTON: Bullen (8); Burt (7); Treise (6); Slade (5) [No.= 202]
Moses,CALSTOCK: Collings and Williams (10); Doidge (9); Barrett (7); Cock (6) [No.= 313]
Job,CAMBORNE: Bennetts (43); Hocking (25); Richards (23); Rowe (20); Vivian (19) [No.= 699]
Enoch,"CARDINHAM: Coppin (9); Harris, Lang and Saunders (6) [No.= 165]"
